IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,195174,2020-03-02T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,195175,2020-03-10T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,195176,2020-03-11T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,195177,2020-03-16T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,195178,2020-03-19T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,1,0,195179,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,2,0,195180,2020-03-22T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,1,0,195181,2020-03-10T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,195182,2020-03-18T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,195183,2020-03-19T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,195184,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,1,0,195185,2020-03-22T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,195186,2020-03-23T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,3,0,195187,2020-03-13T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,1,0,195188,2020-03-17T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,2,0,195189,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,1,0,195190,2020-03-22T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,1,0,195191,2020-03-23T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,195192,2020-03-13T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,195193,2020-03-16T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,195194,2020-03-17T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,W,1,0,195195,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,A80+,W,1,0,195196,2020-03-23T00:00:00.000Z,01053,24.03.2020 00:00,1,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,M,1,0,195197,2020-03-17T00:00:00.000Z,01053,24.03.2020 00:00,0,0
1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,M,1,0,195198,2020-03-21T00:00:00.000Z,01053,24.03.2020 00:00,1,0
